Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Eritrea;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9151299;;6.250919819;5.565539837;;5.861609936;5.633379936;;5.741849899;;5.168069839;;;;;;;;;;;
Spain;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.821299553;9.615260124;10.31713009;10.11695004;10.00685978;9.706110001;10.02190018;10.24135971;10.63162994;10.70874977;;10.4872303;10.69392014;10.68445015;10.71261024;10.70899963;10.88755035;10.72628975;10.78145027;10.88879013;10.87619972;10.93867016;10.63551998;10.5639801;10.62528038;9.215359688;9.538459778;9.592610359;;;
Estonia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.87682915;17.85774994;16.16828918;16.50725937;14.81044006;15.05838013;15.28682995;15.18782997;14.48865986;14.52334976;;13.87777042;14.15126991;13.45903015;13.68179989;13.41265011;12.01334953;12.59300041;14.26226044;;;
Ethiopia;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;12.35554028;12.48698997;12.1781702;9.701319695;11.82013035;10.0891304;10.32174969;;;;;;;13.26484013;;;13.04413986;14.86991978;;;14.9077301;14.46177006;16.18774986;;;;23.97537994;24.69944954;26.35573006;23.58374977;26.30404091;29.67443085;30.53953934;27.02109909;;;;
European Union;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.48540974;;10.82086992;11.11577511;;10.9900651;11.06927013;11.07563019;11.86071968;11.50884533;11.62484026;11.72140026;12.07252026;12.03361511;11.62495995;11.90371037;11.41065025;11.11258984;11.10004997;11.30628014;11.54858494;11.64978981;;;
Fragile and conflict affected situations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;12.45374012;12.05609989;11.65970993;10.90627003;11.56015015;11.10585022;11.21802044;11.2560997;11.45681;12.07530975;12.85859966;11.4066;12.44587994;11.41804028;11.90163994;11.84667015;;;11.76006031;12.17092037;12.63444996;12.6825304;12.77597046;12.77896023;12.24969959;12.28382015;12.14995003;12.11540031;11.84331989;11.94548988;11.91888046;12.79728985;12.44550991;12.32345009;;;
Fiji;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.87771988;19.28933907;20.4849205;18.52475929;19.95339012;;22.04252052;18.76222992;19.3315506;21.42140007;16.73675919;15.3524704;;14.88945961;;14.03246975;;;;
France;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;11.54650974;11.4282198;10.76025009;10.46681023;10.10204029;9.717619896;9.403619766;9.617739677;9.529540062;9.68941021;10.06252956;9.621479988;10.48540974;10.58442974;11.0101099;10.86114025;;10.81140995;10.84447956;10.78995037;10.57707024;10.34288979;10.84214973;10.7323103;10.40091991;10.36730003;10.4259901;10.27361012;10.10988045;10.06912994;9.863940239;9.736760139;9.661879539;;;;
Faroe Islands;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
