Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Bosnia and Herzegovina;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.39893826;71.46787364;83.88233728;72.79732986;98.36341183;94.17666266;75.5002714;75.92642464;70.92935457;83.16849181;77.49680381;71.61980936;63.01233602;56.45869495;59.3148096;48.73811824;51.27267139;55.80037667;55.85213351;54.13387419;56.57192901;53.23088437;52.29515402;
Belarus;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.64896074;33.40987371;57.83666847;83.36682499;84.10460176;54.05353757;50.42488709;65.65633518;63.9066163;61.63176935;72.39834461;70.29732374;67.37454234;68.98547237;74.25017703;59.08654297;64.23379212;67.21082526;68.66172333;61.78058849;64.54508764;79.50889355;74.30836203;61.48238713;55.71042031;57.90405963;62.75691413;
Belize;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;68.57509628;75.34992224;70.57182706;65;70.15173068;61.29572077;58.13034891;62.59265956;67.84693554;69.131213;60.06536739;64.84968376;52.91925098;50.18440829;52.43820538;49.11100777;50.26587825;55.70716124;56.92769928;67.35425289;73.67146935;69.09934914;66.1303712;65.93645098;58.51346912;62.69395194;61.65051949;61.21539465;69.65296524;56.22320759;57.47189679;63.11651555;62.93205073;66.7552268;65.96498402;67.69643485;;
Bermuda;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.51093126;30.18607294;28.84300217;28.65508619;29.59251558;;;;
Bolivia;Latin America & Caribbean;19.27083375;17.7163514;19.94231163;20.83538697;18.4916875;20.37521986;21.16984693;20.96496191;26.85824436;26.17884541;24.35451837;24.40448748;24.01913876;28.31875915;26.79769666;32.21663411;29.88530977;29.64649045;30.1082418;27.39607582;22.28548693;22.95374782;29.40391432;24.0390415;25.8198699;22.84285327;25.70735064;23.99218168;23.13880894;23.15646579;23.92629321;26.96562034;29.0650961;28.38636003;27.19753938;27.18656477;27.27442065;29.35906095;32.58247785;27.28735619;27.32302914;25.25567283;27.7158054;26.36710166;26.32587575;32.09379899;32.7661346;34.26593793;37.96046497;32.90444922;34.32417047;38.38869337;37.78256468;37.13842804;41.9713817;37.06454906;32.04021377;
Brazil;Latin America & Caribbean;7.117285543;7.339459071;5.188973948;9.111000021;5.677600006;5.555924843;5.991669227;5.768971066;6.610384411;6.553713097;7.449759148;8.137973432;8.844075565;9.501580998;13.88372808;11.50558031;9.432617823;7.917747637;7.864394358;9.175567788;11.30583071;9.799449095;8.274479024;9.008341194;7.924387293;7.095314561;6.354576555;6.192662646;5.692538049;5.46126798;6.961765546;7.913943536;8.385094331;9.096046055;9.66785407;9.260109434;8.905392489;9.592485576;9.4080816;11.41727904;12.45166138;14.56463052;13.38773553;12.95962458;13.1324735;11.84298788;11.66735147;11.96490928;13.72360243;11.25459378;11.77920798;12.23549498;13.06225025;13.93167816;13.67346536;14.06669231;12.12546245;
Barbados;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.13306303;41.69288315;34.6968066;38.11444539;38.16589244;44.14111441;44.51659452;48.28178024;44.74002837;45.57459311;46.40237066;44.48526463;43.60013882;46.1929554;49.35905644;51.74736356;50.20133754;48.98922354;52.81835348;46.12600219;48.73197136;48.62687464;47.46206793;51.99241192;50.69818916;43.77256416;;
Brunei Darussalam;East Asia & Pacific;;;;;;;;;;;;;;;17.35341335;23.42622004;18.25886636;16.08782057;14.47273057;14.13786882;11.66426622;13.71348041;17.22645335;18.98103128;;;;;;35.20789195;37.26688607;40.17200938;47.90902421;51.76364185;48.40621496;55.8271237;60.64051019;58.49423351;57.40412979;48.40323201;35.81729355;39.19356475;41.62613879;35.96921573;31.79052372;27.28916946;25.2164514;27.8977165;27.61460739;35.7894602;27.96147673;30.03046818;35.47872117;42.8950042;30.65049207;32.68646642;37.7420248;
Bhutan;South Asia;;;;;;;;;;;;;;;;;;;;;37.70276137;48.03859053;47.69614828;45.77204981;45.13039835;51.13760517;52.42133226;38.09133888;49.11632028;37.96754958;30.65261276;40.1228102;55.90385045;44.09362095;39.42604142;42.6295264;45.66832041;46.11597789;49.41758839;50.70118172;48.28761873;47.74815455;49.32871651;50.82833899;62.16441766;64.44833127;59.17786173;57.29551507;57.95919187;62.20414564;70.73120267;70.48616833;63.03859296;62.27557071;57.3379826;61.73077323;53.09315853;
Botswana;Sub-Saharan Africa;39.64394208;42.52550467;44.83899262;47.34535685;48.57670261;50.6097561;50.94850949;50.77349314;62.94736842;52.56525653;60.91370558;61.56387665;60.54287962;61.96518147;64.77518634;63.79211879;66.32148377;69.30966469;68.524389;65.24992517;66.44230186;71.53032832;69.27419741;62.56561807;57.96219857;51.23175935;49.12874011;48.44218821;43.9296497;46.13626671;49.79191333;46.52887119;41.57169149;39.11240781;40.35821104;43.7586738;37.12713079;47.7236766;52.55186722;43.73181291;40.09291962;38.86745733;39.67834728;37.00718468;41.38403511;35.58179851;34.08011528;40.58855618;51.04194313;51.88507096;51.26433191;52.46403484;60.29247129;61.43658958;53.94247274;53.55960644;42.24297526;
